dataset_id,metric,n_shared_values,mean_delta_T,median_delta_T,frac_delta_T_positive,mean_delta_V,median_delta_V,frac_delta_V_positive,shared_values_json
20 Newsgroups,AMI,6,0.0421751574907936,0.0416698438278066,1.0,0.0045958777305974,0.006480718744424,0.8333333333333334,"[5.0, 10.0, 15.0, 30.0, 50.0, 100.0]"
20 Newsgroups,ARI,6,0.0611832487772553,0.071061814228775,1.0,-0.0080608050501083,-0.0057937042501744,0.1666666666666666,"[5.0, 10.0, 15.0, 30.0, 50.0, 100.0]"
20 Newsgroups,JACCARD,6,0.0780471564133979,0.0897884598048218,1.0,-0.0033527822958668,-0.0020689118045247,0.1666666666666666,"[5.0, 10.0, 15.0, 30.0, 50.0, 100.0]"
AG News,AMI,6,-0.0706352482935675,-0.0701807587558639,0.1666666666666666,-0.071307013728611,-0.090038443485028,0.1666666666666666,"[5.0, 10.0, 15.0, 30.0, 50.0, 100.0]"
AG News,ARI,6,-0.0898117058211079,-0.0925528464767651,0.1666666666666666,-0.070112949371018,-0.0822523651723018,0.1666666666666666,"[5.0, 10.0, 15.0, 30.0, 50.0, 100.0]"
AG News,JACCARD,6,-0.0790491414033387,-0.0856726495208047,0.1666666666666666,-0.0203467206366573,-0.0186622532578162,0.1666666666666666,"[5.0, 10.0, 15.0, 30.0, 50.0, 100.0]"
CIFAR-10,AMI,6,0.0077355053362694,-0.0083398003671512,0.5,0.0193420950785885,0.0182058700730666,0.8333333333333334,"[5.0, 10.0, 15.0, 30.0, 50.0, 100.0]"
CIFAR-10,ARI,6,0.0035772209049511,-0.0184335758895179,0.3333333333333333,0.0163441540844497,0.0083141298156034,0.8333333333333334,"[5.0, 10.0, 15.0, 30.0, 50.0, 100.0]"
CIFAR-10,JACCARD,6,0.0038312754225509,-0.0240021288506943,0.3333333333333333,0.0119000022901706,0.0062046565057103,0.8333333333333334,"[5.0, 10.0, 15.0, 30.0, 50.0, 100.0]"
MNIST,AMI,6,0.0083315866437754,0.0071791101958132,0.5,0.0139266745646397,0.0065782228330972,0.6666666666666666,"[5.0, 10.0, 15.0, 30.0, 50.0, 100.0]"
MNIST,ARI,6,0.0008568172752998,0.0046473929696457,0.5,-0.0118797938509244,-0.0179037877374445,0.3333333333333333,"[5.0, 10.0, 15.0, 30.0, 50.0, 100.0]"
MNIST,JACCARD,6,0.0031884659906194,0.0092528070975433,0.5,-0.0128543114261414,-0.0195731284894487,0.3333333333333333,"[5.0, 10.0, 15.0, 30.0, 50.0, 100.0]"
Olivetti Faces,AMI,6,0.0134580863237544,0.0074898207353661,1.0,-0.0425007450634426,-0.0552436368156089,0.1666666666666666,"[5.0, 10.0, 15.0, 30.0, 50.0, 100.0]"
Olivetti Faces,ARI,6,0.0283129276044338,0.0227636084237418,1.0,-0.0350002247705864,-0.0459716849377813,0.1666666666666666,"[5.0, 10.0, 15.0, 30.0, 50.0, 100.0]"
Olivetti Faces,JACCARD,6,0.0379722337993179,0.0276727157760332,1.0,-0.0300479625281112,-0.0395199561411353,0.1666666666666666,"[5.0, 10.0, 15.0, 30.0, 50.0, 100.0]"
UCI HAR,AMI,6,0.008229638654301,-0.0064811999592752,0.3333333333333333,0.0128513770370918,-0.0108699389311447,0.3333333333333333,"[5.0, 10.0, 15.0, 30.0, 50.0, 100.0]"
UCI HAR,ARI,6,0.0064654033228375,-0.0056637614361185,0.3333333333333333,0.0039676579333138,-0.0158020448147321,0.3333333333333333,"[5.0, 10.0, 15.0, 30.0, 50.0, 100.0]"
UCI HAR,JACCARD,6,0.0106970299495696,-0.0091207217169714,0.3333333333333333,0.0059478780988793,-0.0139911443143325,0.3333333333333333,"[5.0, 10.0, 15.0, 30.0, 50.0, 100.0]"
