dataset_id,method,metric,spearman_T_V,selection_regret,top2_overlap,pairwise_concordance,kendall_T_V,n_hyperparam_settings
20newsgroups,tsne,ami,0.8285714285714287,0.0,1,0.8666666666666667,0.7333333333333333,6
20newsgroups,tsne,ari,0.2571428571428572,0.0018983607961474,1,0.6,0.2,6
20newsgroups,tsne,jaccard,0.2571428571428572,0.0008774699280151,1,0.6,0.2,6
20newsgroups,umap,ami,0.6,0.0069147829746902,1,0.7333333333333333,0.4666666666666667,6
20newsgroups,umap,ari,0.4857142857142857,0.0076367081426391,0,0.6666666666666666,0.3333333333333333,6
20newsgroups,umap,jaccard,0.4857142857142857,0.0043834509744239,0,0.6666666666666666,0.3333333333333333,6
ag_news,tsne,ami,0.7142857142857143,0.0,2,0.8,0.6,6
ag_news,tsne,ari,0.8285714285714287,0.0,2,0.8666666666666667,0.7333333333333333,6
ag_news,tsne,jaccard,0.7714285714285715,0.0,2,0.8,0.6,6
ag_news,umap,ami,-0.6,0.1166538417024486,1,0.2666666666666666,-0.4666666666666667,6
ag_news,umap,ari,-0.2571428571428572,0.0197593297751682,1,0.4,-0.2,6
ag_news,umap,jaccard,-0.0857142857142857,0.0449734530614039,1,0.4666666666666667,-0.0666666666666666,6
cifar10,tsne,ami,0.4857142857142857,0.0158311103590798,1,0.6666666666666666,0.3333333333333333,6
cifar10,tsne,ari,0.7142857142857143,0.0069490211275564,1,0.8,0.6,6
cifar10,tsne,jaccard,0.7142857142857143,0.005065462067806,1,0.8,0.6,6
cifar10,umap,ami,0.4285714285714286,0.0074177960964376,1,0.6666666666666666,0.3333333333333333,6
cifar10,umap,ari,0.3142857142857143,0.0068763805857992,1,0.6,0.2,6
cifar10,umap,jaccard,0.1428571428571428,0.0050225023499888,1,0.5333333333333333,0.0666666666666666,6
mnist,tsne,ami,0.3142857142857143,0.0142413336050484,1,0.6,0.2,6
mnist,tsne,ari,0.3714285714285715,0.0170121199090472,1,0.6666666666666666,0.3333333333333333,6
mnist,tsne,jaccard,0.3714285714285715,0.0201454420461936,1,0.6666666666666666,0.3333333333333333,6
mnist,umap,ami,0.6571428571428573,0.0,2,0.8,0.6,6
mnist,umap,ari,0.0857142857142857,0.0075262147208411,1,0.6,0.2,6
mnist,umap,jaccard,0.0857142857142857,0.008588003339786,1,0.6,0.2,6
olivetti_faces,tsne,ami,1.0,0.0,2,1.0,1.0,6
olivetti_faces,tsne,ari,0.942857142857143,0.0049970106851422,2,0.9333333333333332,0.8666666666666667,6
olivetti_faces,tsne,jaccard,0.942857142857143,0.0045436849355412,2,0.9333333333333332,0.8666666666666667,6
olivetti_faces,umap,ami,1.0,0.0,2,1.0,1.0,6
olivetti_faces,umap,ari,0.942857142857143,0.015907303657575,2,0.9333333333333332,0.8666666666666667,6
olivetti_faces,umap,jaccard,0.942857142857143,0.0155825664957314,2,0.9333333333333332,0.8666666666666667,6
uci_har,tsne,ami,0.7142857142857143,0.0,1,0.8,0.6,6
uci_har,tsne,ari,0.7142857142857143,0.0,1,0.8,0.6,6
uci_har,tsne,jaccard,0.7142857142857143,0.0,1,0.8,0.6,6
uci_har,umap,ami,0.7714285714285715,0.0074491432283483,1,0.8,0.6,6
uci_har,umap,ari,0.7142857142857143,0.0340020695284465,1,0.7333333333333333,0.4666666666666667,6
uci_har,umap,jaccard,0.7714285714285715,0.0107345763779095,1,0.8,0.6,6
