dataset_id,method,metric,scenario,scenario_type,K,T_mean,T_std,q95_null,p_value,p_le_0p05,gap_T_minus_q95,K_BH,b,fraction,pairs_per_k,n_null,max_points,seed
mnist,umap,ami,rand2d_embedding,negative_control,2,0.6459350821441593,0.2605908088874647,3.1206984068394865e-05,0.004975124378109453,True,0.6459038751600908,20,80,0.8,1200,200,3000,123
mnist,umap,ami,rand2d_embedding,negative_control,3,0.7814486191835256,0.15692138095778516,3.458146808831206e-05,0.004975124378109453,True,0.7814140377154373,20,80,0.8,1200,200,3000,123
mnist,umap,ami,rand2d_embedding,negative_control,5,0.7628518790974885,0.1293677567756415,4.940815484301044e-05,0.004975124378109453,True,0.7628024709426455,20,80,0.8,1200,200,3000,123
mnist,umap,ami,rand2d_embedding,negative_control,8,0.7561247336939205,0.11012392668129602,6.54432049537155e-05,0.004975124378109453,True,0.7560592904889668,20,80,0.8,1200,200,3000,123
mnist,umap,ami,rand2d_embedding,negative_control,10,0.6878256512376005,0.08537326654673454,7.70562411550234e-05,0.004975124378109453,True,0.6877485949964455,20,80,0.8,1200,200,3000,123
mnist,umap,ami,rand2d_embedding,negative_control,15,0.7334669277247172,0.05209340409105104,9.984318721586174e-05,0.004975124378109453,True,0.7333670845375013,20,80,0.8,1200,200,3000,123
mnist,umap,ami,rand2d_embedding,negative_control,20,0.7404045390975281,0.03777725836850397,0.00013813475051680315,0.004975124378109453,True,0.7402664043470113,20,80,0.8,1200,200,3000,123
mnist,umap,ami,shuffled_features_embedding,negative_control,2,0.933298757476712,0.04492906306566776,2.888458016045342e-05,0.004975124378109453,True,0.9332698728965515,20,80,0.8,1200,200,3000,123
mnist,umap,ami,shuffled_features_embedding,negative_control,3,0.9494904535337299,0.02538009904752345,3.0800724043496806e-05,0.004975124378109453,True,0.9494596528096864,20,80,0.8,1200,200,3000,123
mnist,umap,ami,shuffled_features_embedding,negative_control,5,0.9542123720720954,0.019360041134001877,5.0757268246752836e-05,0.004975124378109453,True,0.9541616148038486,20,80,0.8,1200,200,3000,123
mnist,umap,ami,shuffled_features_embedding,negative_control,8,0.9197692532080569,0.028839720508985586,6.380715745113845e-05,0.004975124378109453,True,0.9197054460506058,20,80,0.8,1200,200,3000,123
mnist,umap,ami,shuffled_features_embedding,negative_control,10,0.8697815625181833,0.06981013777809686,6.974813288985833e-05,0.004975124378109453,True,0.8697118143852934,20,80,0.8,1200,200,3000,123
mnist,umap,ami,shuffled_features_embedding,negative_control,15,0.8294822579404639,0.04218190711790156,0.00010266649182785487,0.004975124378109453,True,0.829379591448636,20,80,0.8,1200,200,3000,123
mnist,umap,ami,shuffled_features_embedding,negative_control,20,0.7840215734514803,0.03370743008979065,0.00012464781084844785,0.004975124378109453,True,0.7838969256406318,20,80,0.8,1200,200,3000,123
ag_news,umap,ami,rand2d_embedding,negative_control,2,0.5894183969928063,0.2809203169132293,3.158056826762587e-05,0.004975124378109453,True,0.5893868164245387,20,80,0.8,1200,200,3000,123
ag_news,umap,ami,rand2d_embedding,negative_control,3,0.7936116475094775,0.1418444441303596,2.95393509326952e-05,0.004975124378109453,True,0.7935821081585448,20,80,0.8,1200,200,3000,123
ag_news,umap,ami,rand2d_embedding,negative_control,5,0.797862459751953,0.11042495557255486,5.217266027703612e-05,0.004975124378109453,True,0.797810287091676,20,80,0.8,1200,200,3000,123
ag_news,umap,ami,rand2d_embedding,negative_control,8,0.7853739659940395,0.09554031912885297,7.063360888261184e-05,0.004975124378109453,True,0.7853033323851569,20,80,0.8,1200,200,3000,123
ag_news,umap,ami,rand2d_embedding,negative_control,10,0.7013957257604513,0.08381192410293441,6.818421264512117e-05,0.004975124378109453,True,0.7013275415478062,20,80,0.8,1200,200,3000,123
ag_news,umap,ami,rand2d_embedding,negative_control,15,0.7242296006347045,0.04931803633577104,0.00011398462205566633,0.004975124378109453,True,0.7241156160126488,20,80,0.8,1200,200,3000,123
ag_news,umap,ami,rand2d_embedding,negative_control,20,0.744245575884047,0.03979615412188876,0.00013498076261309568,0.004975124378109453,True,0.744110595121434,20,80,0.8,1200,200,3000,123
ag_news,umap,ami,shuffled_features_embedding,negative_control,2,0.7763894319319107,0.14752858077942824,2.335335365088258e-05,0.004975124378109453,True,0.7763660785782598,20,80,0.8,1200,200,3000,123
ag_news,umap,ami,shuffled_features_embedding,negative_control,3,0.8654893803376208,0.17622021998429574,3.321317203068459e-05,0.004975124378109453,True,0.8654561671655902,20,80,0.8,1200,200,3000,123
ag_news,umap,ami,shuffled_features_embedding,negative_control,5,0.8857937495778192,0.12224720930505273,4.6796675062024926e-05,0.004975124378109453,True,0.8857469529027572,20,80,0.8,1200,200,3000,123
ag_news,umap,ami,shuffled_features_embedding,negative_control,8,0.8896066966496281,0.07933552691534569,6.53455240105463e-05,0.004975124378109453,True,0.8895413511256176,20,80,0.8,1200,200,3000,123
ag_news,umap,ami,shuffled_features_embedding,negative_control,10,0.7464233800804123,0.07907914541778983,8.564798148733679e-05,0.004975124378109453,True,0.746337732098925,20,80,0.8,1200,200,3000,123
ag_news,umap,ami,shuffled_features_embedding,negative_control,15,0.8578904177553238,0.05504365229630839,0.00010024374081630017,0.004975124378109453,True,0.8577901740145075,20,80,0.8,1200,200,3000,123
ag_news,umap,ami,shuffled_features_embedding,negative_control,20,0.8048021773283418,0.03831171565811912,0.00012901874403951243,0.004975124378109453,True,0.8046731585843023,20,80,0.8,1200,200,3000,123
